"date","open","high","low","close","volume","adjClose","symbol"
"2013-12-13T00:00:00.000Z",52.3,52.6,51.84,52.37,6465300,50.73,"ABBV"
"2013-12-16T00:00:00.000Z",53.42,54.78,52.98,53.37,9846300,51.7,"ABBV"
"2013-12-17T00:00:00.000Z",53.43,53.92,53,53.63,7987300,51.95,"ABBV"
"2013-12-18T00:00:00.000Z",52.78,54.43,52.22,54.32,9635600,52.62,"ABBV"
"2013-12-19T00:00:00.000Z",53.21,53.21,52.02,52.63,8383400,50.98,"ABBV"
"2013-12-20T00:00:00.000Z",52.77,53.01,52.29,52.59,12471800,50.94,"ABBV"
"2013-12-23T00:00:00.000Z",52.73,52.94,52.24,52.58,4957700,50.93,"ABBV"
"2013-12-24T00:00:00.000Z",52.78,52.79,52.28,52.36,1747000,50.72,"ABBV"
"2013-12-26T00:00:00.000Z",52.59,53.06,52.34,52.99,2401500,51.33,"ABBV"
"2013-12-27T00:00:00.000Z",52.92,53.05,52.38,52.55,2354100,50.91,"ABBV"
"2013-12-30T00:00:00.000Z",52.73,53.03,52.6,53.01,2898800,51.35,"ABBV"
"2013-12-31T00:00:00.000Z",52.99,53.06,52.36,52.81,3019700,51.16,"ABBV"
"2014-01-02T00:00:00.000Z",52.12,52.33,51.52,51.98,4569100,50.35,"ABBV"
"2014-01-03T00:00:00.000Z",52.25,52.67,51.97,52.3,4794300,50.66,"ABBV"
"2014-01-06T00:00:00.000Z",52.7,52.7,50.03,50.39,11871100,48.81,"ABBV"
"2014-01-07T00:00:00.000Z",50.84,51.21,50.3,50.49,9719900,48.91,"ABBV"
"2014-01-08T00:00:00.000Z",50.63,51.11,50.24,50.36,6811100,48.78,"ABBV"
"2014-01-09T00:00:00.000Z",50.59,51.65,49.87,51.22,6960300,49.62,"ABBV"
"2014-01-10T00:00:00.000Z",51.27,51.49,50.76,50.9,5517700,49.31,"ABBV"
"2014-01-13T00:00:00.000Z",50.66,50.74,49.64,49.83,7055200,48.65,"ABBV"
"2014-01-14T00:00:00.000Z",49.94,50.88,49.63,50.6,6610800,49.41,"ABBV"
"2014-01-15T00:00:00.000Z",50.65,50.67,50.07,50.11,4728400,48.93,"ABBV"
"2014-01-16T00:00:00.000Z",50.1,50.62,50.02,50.5,4972300,49.31,"ABBV"
"2014-01-17T00:00:00.000Z",50.64,50.66,50.01,50.06,8606800,48.88,"ABBV"
"2014-01-21T00:00:00.000Z",50.26,50.92,49.91,50,5823000,48.82,"ABBV"
"2014-01-22T00:00:00.000Z",49.98,50,48.62,49.08,8181700,47.92,"ABBV"
"2014-01-23T00:00:00.000Z",48.74,49.06,48.39,48.87,7270500,47.72,"ABBV"
"2014-01-24T00:00:00.000Z",48.42,49.1,47.77,47.79,9197900,46.66,"ABBV"
"2014-01-27T00:00:00.000Z",47.79,47.83,46.42,46.83,10749800,45.72,"ABBV"
"2014-01-28T00:00:00.000Z",47.08,48.47,47.08,47.69,12298600,46.56,"ABBV"
"2014-01-29T00:00:00.000Z",47.15,47.84,46.98,47.61,7608500,46.49,"ABBV"
"2014-01-30T00:00:00.000Z",47.97,48.88,47.9,48.31,7669500,47.17,"ABBV"
"2014-01-31T00:00:00.000Z",49.94,50.55,49.07,49.23,12863500,48.07,"ABBV"
"2014-02-03T00:00:00.000Z",49.4,49.49,47.06,47.35,10314600,46.23,"ABBV"
"2014-02-04T00:00:00.000Z",47.18,47.97,46.95,47.95,9606100,46.82,"ABBV"
"2014-02-05T00:00:00.000Z",47.76,48.07,47.16,47.73,6987100,46.6,"ABBV"
"2014-02-06T00:00:00.000Z",47.89,48.18,47.45,47.93,4957800,46.8,"ABBV"
"2014-02-07T00:00:00.000Z",48,49.03,47.66,48.89,6979500,47.74,"ABBV"
"2014-02-10T00:00:00.000Z",48.75,50.19,48.72,49.55,7907500,48.38,"ABBV"
"2014-02-11T00:00:00.000Z",49.41,49.97,49.04,49.66,7217600,48.49,"ABBV"
"2014-02-12T00:00:00.000Z",49.63,50.93,49.59,50.56,6534500,49.37,"ABBV"
"2014-02-13T00:00:00.000Z",50.3,50.52,49.88,50.35,4946000,49.16,"ABBV"
"2014-02-14T00:00:00.000Z",50.56,50.91,50.17,50.73,4118700,49.53,"ABBV"
"2014-02-18T00:00:00.000Z",50.64,51.56,50.56,51.46,4984900,50.24,"ABBV"
"2014-02-19T00:00:00.000Z",51.17,51.86,50.64,51.19,5242800,49.98,"ABBV"
"2014-02-20T00:00:00.000Z",51.19,52.11,50.73,51.86,6078900,50.64,"ABBV"
"2014-02-21T00:00:00.000Z",51.82,51.97,51.01,51.04,5842700,49.83,"ABBV"
"2014-02-24T00:00:00.000Z",51.01,51.56,50.83,50.85,5693000,49.65,"ABBV"
"2014-02-25T00:00:00.000Z",50.93,51.13,50.5,50.72,5425000,49.52,"ABBV"
"2014-02-26T00:00:00.000Z",49.95,50.97,49.93,50.74,5710700,49.54,"ABBV"
"2014-02-27T00:00:00.000Z",50.6,50.92,50.47,50.91,5052900,49.71,"ABBV"
"2014-02-28T00:00:00.000Z",50.84,51.96,50.51,50.91,7095600,49.71,"ABBV"
"2014-03-03T00:00:00.000Z",50.34,50.86,49.79,50.09,6817700,48.91,"ABBV"
